Clutter Class,Path Loss (DL) (dB),Best Server,Transmitter_X,Transmitter_Y,User_X,User_Y,Max_Power,Transmitter_Height,Transmitter_Azimuth,Transmitter_Mechanical_Downtilt,Antenna_Gain,Antenna_Horizontal_Half-power_Beamwidth,Antenna_Vertical_Half-power_Beamwidth,Frequency,Horizontal_Attenuation,Vertical_Attenuation,User_Azimuth,User_Downtilt,User_Height,RSRP,Distance_euclid
11 - open_in_urban,112.7,Site2_1,595886.47,5634321.74,595930,5634365,43,14,0,4,8,65,6,3300,0.05,0.05,225.7,-27.1,1.5,-88.07,61.37009451
19 - high_buildings,120.2,Site3_1,595774.83,5633884.13,595731,5633902,45,15,0,2,8,65,6,3300,0.01,0.01,112.2,-15.9,1.5,-87.47,47.33292512
1 - open,119.48,Site7_3,596216.91,5633488.93,596135,5633597,47,23,240,3,8,65,6,3300,0.03,0.03,142.8,-9,1.5,-86.55,135.6037352
1 - open,112.78,Site5_2,596165.56,5633716.67,596174,5633693,49,28,120,8,8,65,6,3300,0.18,0.18,341.6,-46.3,1.5,-84.26,25.12971349
19 - high_buildings,112.49,Site3_3,595774.83,5633884.13,595732,5633856,49,17,240,3,8,65,6,3300,0.03,0.03,56.9,-10.5,1.5,-80.26,51.24164127
7 - dense_urban,106.4,Site5_1,596165.56,5633716.67,596114,5633847,49,30,0,7,8,65,6,3300,0.14,0.14,158.2,-4.3,1.5,-71.58,140.1582766
1 - open,112.42,Site1_1,595522.53,5634212.34,595491,5634285,47,20,0,2,8,65,6,3300,0.01,0.01,156.3,-2.5,1.5,-77.8,79.20616453
15 - dense_residential,113.24,Site1_1,595522.53,5634212.34,595448,5634276,47,20,0,2,8,65,6,3300,0.01,0.01,130.5,-7.8,1.5,-78.41,98.01691946
7 - dense_urban,121.2,Site6_3,595864.14,5633631.83,595777,5633558,43,20,240,4,8,65,6,3300,0.05,0.05,49.6,-3.8,1.5,-86.65,114.2114202
1 - open,114.78,Site3_3,595774.83,5633884.13,595707,5633868,49,17,240,3,8,65,6,3300,0.03,0.03,76.8,-34.8,1.5,-85.47,69.72148736
7 - dense_urban,113.92,Site8_2,595922.19,5634056.05,596016,5633928,49,21,120,1,8,65,6,3300,0,0,323.7,-0.2,1.5,-79.17,158.7360028
7 - dense_urban,118.81,Site4_3,596192.35,5634069.44,596104,5634094,43,10,240,4,8,65,6,3300,0.05,0.05,105.9,7.2,1.5,-85.54,91.70014231
15 - dense_residential,93.82,Site4_3,596192.35,5634069.44,596115,5634074,43,10,240,4,8,65,6,3300,0.05,0.05,93.7,-2.6,1.5,-60.6,77.48429583
1 - open,111.34,Site5_3,596165.56,5633716.67,596106,5633531,47,13,240,8,8,65,6,3300,0.18,0.18,17.9,-3.4,1.5,-80.83,194.989083
7 - dense_urban,92.55,Site3_3,595774.83,5633884.13,595718,5633855,49,17,240,3,8,65,6,3300,0.03,0.03,63,-22.5,1.5,-68.29,63.8608315
1 - open,125.18,Site8_3,595922.19,5634056.05,595769,5633651,43,16,240,0,8,65,6,3300,0,0,20.7,-3,1.5,-91.17,433.0504342
7 - dense_urban,111.71,Site1_2,595522.53,5634212.34,595638,5634008,43,15,146,3,8,65,6,3300,0.03,0.03,330.6,-0.1,1.5,-78.59,234.708663
11 - open_in_urban,98.32,Site2_1,595886.47,5634321.74,595922,5634346,43,14,0,4,8,65,6,3300,0.05,0.05,236.3,-36.1,1.5,-68.98,43.02241857
1 - open,120.75,Site6_2,595864.14,5633631.83,595981,5633694,48,18,120,2,8,65,6,3300,0.01,0.01,242.1,-7.1,1.5,-92.71,132.3683063
11 - open_in_urban,118.13,Site7_1,596216.91,5633488.93,596174,5633603,44,15,0,6,8,65,6,3300,0.1,0.1,159.3,-6.3,1.5,-83.19,121.8738405
19 - high_buildings,115.71,Site3_1,595774.83,5633884.13,595727,5633856,45,15,0,2,8,65,6,3300,0.01,0.01,59.7,-15.6,1.5,-83.35,55.48878986
19 - high_buildings,119.93,Site5_1,596165.56,5633716.67,596195,5633688,49,30,0,7,8,65,6,3300,0.14,0.14,315,-2.1,1.5,-85.94,41.09358222
15 - dense_residential,97.97,Site7_2,596216.91,5633488.93,596232,5633422,45,30,120,7,8,65,6,3300,0.14,0.14,347.4,-20.4,1.5,-72.41,68.61000656
19 - high_buildings,99.08,Site2_3,595886.47,5634321.74,595883,5633867,44,20,240,5,8,65,6,3300,0.07,0.07,0.4,0.1,1.5,-64.82,454.7532391
7 - dense_urban,116.66,Site4_2,596192.35,5634069.44,596181,5633944,44,14,120,6,8,65,6,3300,0.1,0.1,5,-0.2,1.5,-82,125.9524359
1 - open,107.68,Site2_2,595886.47,5634321.74,596030,5634259,43,18,120,2,8,65,6,3300,0.01,0.01,293.6,-12.7,1.5,-75.6,156.6434438
1 - open,106.89,Site5_3,596165.56,5633716.67,596165,5633685,47,13,240,8,8,65,6,3300,0.18,0.18,1.8,-19.8,1.5,-81.92,31.67495067
11 - open_in_urban,112.73,Site2_3,595886.47,5634321.74,595829,5634116,44,20,240,5,8,65,6,3300,0.07,0.07,15.5,-10,1.5,-78.17,213.6158901
11 - open_in_urban,117.55,Site7_3,596216.91,5633488.93,596221,5633413,47,23,240,3,8,65,6,3300,0.03,0.03,357,-15.8,1.5,-86.3,76.04007496
12 - parks_in_urban,109.16,Site2_2,595886.47,5634321.74,596045,5634260,43,18,120,2,8,65,6,3300,0.01,0.01,291.3,-6.5,1.5,-75.17,170.1281532
15 - dense_residential,117.86,Site6_1,595864.14,5633631.83,595786,5633779,43,14,0,9,8,65,6,3300,0.23,0.23,152,-0.9,1.5,-83.75,166.6279343
15 - dense_residential,140.19,Site1_1,595522.53,5634212.34,595453,5634389,47,20,0,2,8,65,6,3300,0.01,0.01,158.4,-2.3,1.5,-105.47,189.8504056
11 - open_in_urban,122.07,Site7_3,596216.91,5633488.93,596243,5633407,47,23,240,3,8,65,6,3300,0.03,0.03,342.4,-14,1.5,-90.83,85.98379498
19 - high_buildings,102.78,Site3_2,595774.83,5633884.13,595765,5633891,49,30,120,5,8,65,6,3300,0.07,0.07,125,-66.8,1.5,-78.69,11.99273947
7 - dense_urban,127.68,Site3_2,595774.83,5633884.13,595829,5633854,49,30,120,5,8,65,6,3300,0.07,0.07,299.1,-35.8,1.5,-102.74,61.98552896
1 - open,98.92,Site1_3,595522.53,5634212.34,595479,5634181,48,13,240,1,8,65,6,3300,0,0,54.8,-14.1,1.5,-66.5,53.63820001
19 - high_buildings,117.44,Site1_3,595522.53,5634212.34,595446,5634079,48,13,240,1,8,65,6,3300,0,0,30.1,6.5,1.5,-85.55,153.7413298
1 - open,108,Site5_3,596165.56,5633716.67,595951,5633674,47,13,240,8,8,65,6,3300,0.18,0.18,78.7,-3,1.5,-73.01,218.761794
1 - open,106.04,Site5_2,596165.56,5633716.67,596185,5633686,49,28,120,8,8,65,6,3300,0.18,0.18,328.5,-36.1,1.5,-81.23,36.31201592
7 - dense_urban,109.98,Site3_2,595774.83,5633884.13,595858,5633850,49,30,120,5,8,65,6,3300,0.07,0.07,292.3,-27.4,1.5,-82.64,89.90053281
12 - parks_in_urban,120.14,Site7_1,596216.91,5633488.93,596102,5633592,44,15,0,6,8,65,6,3300,0.1,0.1,131.8,2.8,1.5,-85.92,154.3623432
1 - open,98.54,Site6_3,595864.14,5633631.83,595855,5633603,43,20,240,4,8,65,6,3300,0.05,0.05,17.2,-31.4,1.5,-70.51,30.24414819
11 - open_in_urban,114.85,Site7_1,596216.91,5633488.93,596271,5633568,44,15,0,6,8,65,6,3300,0.1,0.1,214.4,-8,1.5,-81.83,95.80079854
1 - open,105.73,Site3_3,595774.83,5633884.13,595727,5633866,49,17,240,3,8,65,6,3300,0.03,0.03,69.4,-41,1.5,-77.32,51.15081427
19 - high_buildings,126.58,Site3_3,595774.83,5633884.13,595700,5633868,49,17,240,3,8,65,6,3300,0.03,0.03,78,-10,1.5,-92.35,76.54871521
11 - open_in_urban,114.48,Site6_2,595864.14,5633631.83,595894,5633602,48,18,120,2,8,65,6,3300,0.01,0.01,315,-21.3,1.5,-85.33,42.2072091
7 - dense_urban,127.05,Site5_3,596165.56,5633716.67,595937,5633692,47,13,240,8,8,65,6,3300,0.18,0.18,83.8,3.1,1.5,-92.93,229.8875432
19 - high_buildings,106.64,Site3_3,595774.83,5633884.13,595744,5633864,49,17,240,3,8,65,6,3300,0.03,0.03,57.2,-14.4,1.5,-75.72,36.81991037
7 - dense_urban,121.46,Site3_2,595774.83,5633884.13,595865,5633788,49,30,120,5,8,65,6,3300,0.07,0.07,316.8,-20.6,1.5,-88.69,131.8013877
7 - dense_urban,92.44,Site6_2,595864.14,5633631.83,595868,5633611,48,18,120,2,8,65,6,3300,0.01,0.01,349.2,14.4,1.5,-68.79,21.18462886
19 - high_buildings,114.28,Site3_1,595774.83,5633884.13,595741,5633946,45,15,0,2,8,65,6,3300,0.01,0.01,151.3,-13.9,1.5,-81.07,70.51500408
7 - dense_urban,99.57,Site6_2,595864.14,5633631.83,595873,5633594,48,18,120,2,8,65,6,3300,0.01,0.01,346.7,8,1.5,-72.13,38.85368065
19 - high_buildings,97.55,Site7_2,596216.91,5633488.93,596289,5633537,45,30,120,7,8,65,6,3300,0.14,0.14,236.3,-1,1.5,-68.52,86.64694455
1 - open,106.12,Site1_1,595522.53,5634212.34,595624,5634298,47,20,0,2,8,65,6,3300,0.01,0.01,229.6,-8.8,1.5,-71.38,132.7923059
19 - high_buildings,117.74,Site6_1,595864.14,5633631.83,595836,5633686,43,14,0,9,8,65,6,3300,0.23,0.23,152.6,15.2,1.5,-91.17,61.04300533
7 - dense_urban,116.61,Site8_2,595922.19,5634056.05,596053,5633879,49,21,120,1,8,65,6,3300,0,0,323.5,-1.2,1.5,-81.83,220.1316847
11 - open_in_urban,112.07,Site6_1,595864.14,5633631.83,595924,5633712,43,14,0,9,8,65,6,3300,0.23,0.23,216.9,-7.1,1.5,-79.59,100.0522289
11 - open_in_urban,114.63,Site2_3,595886.47,5634321.74,595696,5634371,44,20,240,5,8,65,6,3300,0.07,0.07,104.5,-10.8,1.5,-80.14,196.7368001
15 - dense_residential,109.29,Site8_2,595922.19,5634056.05,596012,5633909,49,21,120,1,8,65,6,3300,0,0,328.5,-5.8,1.5,-75.2,172.3065251
1 - open,122.23,Site8_3,595922.19,5634056.05,595815,5633817,43,16,240,0,8,65,6,3300,0,0,24.1,-4.9,1.5,-89.02,261.9820578
7 - dense_urban,102.96,Site1_3,595522.53,5634212.34,595400,5634278,48,13,240,1,8,65,6,3300,0,0,118.2,4.3,1.5,-69.21,139.0137997
1 - open,85.65,Site7_3,596216.91,5633488.93,596202,5633494,47,23,240,3,8,65,6,3300,0.03,0.03,108.4,-53.7,1.5,-61.86,15.74842849
22 - grass,109.37,Site6_2,595864.14,5633631.83,595953,5633661,48,18,120,2,8,65,6,3300,0.01,0.01,252,-10,1.5,-82.85,93.52533614
19 - high_buildings,122.99,Site3_2,595774.83,5633884.13,595951,5633880,49,30,120,5,8,65,6,3300,0.07,0.07,271.3,-13.9,1.5,-89.18,176.2184037
7 - dense_urban,116.69,Site2_1,595886.47,5634321.74,595811,5634448,43,14,0,4,8,65,6,3300,0.05,0.05,149.2,-12.1,1.5,-83.95,147.0962559
19 - high_buildings,115.52,Site3_2,595774.83,5633884.13,595771,5633785,49,30,120,5,8,65,6,3300,0.07,0.07,2.3,-11.7,1.5,-81.07,99.20396061
1 - open,117.31,Site6_1,595864.14,5633631.83,595827,5633713,43,14,0,9,8,65,6,3300,0.23,0.23,155.4,-8,1.5,-82.59,89.26336595
19 - high_buildings,119.68,Site1_2,595522.53,5634212.34,595513,5634005,43,15,146,3,8,65,6,3300,0.03,0.03,2.8,2.9,1.5,-86.73,207.5588989
19 - high_buildings,114.72,Site1_2,595522.53,5634212.34,595496,5634055,43,15,146,3,8,65,6,3300,0.03,0.03,9.8,-5.6,1.5,-80.14,159.5610118
7 - dense_urban,86.54,Site4_2,596192.35,5634069.44,596197,5634061,44,14,120,6,8,65,6,3300,0.1,0.1,328,-53,1.5,-68.5,9.636187006
7 - dense_urban,112.92,Site8_3,595922.19,5634056.05,595851,5633855,43,16,240,0,8,65,6,3300,0,0,19.5,-0.7,1.5,-78.63,213.2817822
1 - open,107.87,Site5_2,596165.56,5633716.67,596193,5633710,49,28,120,8,8,65,6,3300,0.18,0.18,284.5,-43.5,1.5,-78.7,28.23902442
7 - dense_urban,114.45,Site8_2,595922.19,5634056.05,596126,5633972,49,21,120,1,8,65,6,3300,0,0,292.4,-5.6,1.5,-80.42,220.4606963
7 - dense_urban,120.26,Site3_2,595774.83,5633884.13,595836,5633775,49,30,120,5,8,65,6,3300,0.07,0.07,330.8,-17.5,1.5,-87.59,125.1044596
7 - dense_urban,86.98,Site7_2,596216.91,5633488.93,596258,5633465,45,30,120,7,8,65,6,3300,0.14,0.14,300.3,-4.2,1.5,-54.87,47.55032071
7 - dense_urban,126.02,Site6_1,595864.14,5633631.83,595941,5633720,43,14,0,9,8,65,6,3300,0.23,0.23,221.2,3.7,1.5,-96.04,116.9675532
12 - parks_in_urban,112.76,Site6_2,595864.14,5633631.83,595930,5633663,48,18,120,2,8,65,6,3300,0.01,0.01,244.8,-11.2,1.5,-86.14,72.86362947
19 - high_buildings,122.79,Site6_1,595864.14,5633631.83,595862,5633746,43,14,0,9,8,65,6,3300,0.23,0.23,179,1.3,1.5,-90.95,114.1900543
1 - open,96.25,Site2_1,595886.47,5634321.74,595908,5634354,43,14,0,4,8,65,6,3300,0.05,0.05,214.5,-39,1.5,-68.62,38.78464258
19 - high_buildings,124.08,Site1_2,595522.53,5634212.34,595651,5633858,43,15,146,3,8,65,6,3300,0.03,0.03,340.1,2.1,1.5,-89.92,376.910303
1 - open,113.61,Site7_2,596216.91,5633488.93,596284,5633442,45,30,120,7,8,65,6,3300,0.14,0.14,305,-19.2,1.5,-81.64,81.87486183
7 - dense_urban,118.56,Site5_2,596165.56,5633716.67,596196,5633665,49,28,120,8,8,65,6,3300,0.18,0.18,330,-3.3,1.5,-85.47,59.96984659
7 - dense_urban,113.14,Site4_1,596192.35,5634069.44,596276,5634131,41,18,0,2,8,65,6,3300,0.01,0.01,233.6,-9,1.5,-78.64,103.860272
11 - open_in_urban,117.32,Site6_2,595864.14,5633631.83,595973,5633665,48,18,120,2,8,65,6,3300,0.01,0.01,253.2,-8.2,1.5,-89.64,113.8013554
7 - dense_urban,116.04,Site3_3,595774.83,5633884.13,595716,5633857,49,17,240,3,8,65,6,3300,0.03,0.03,65.4,-22.2,1.5,-90.67,64.78430211
1 - open,105.2,Site4_3,596192.35,5634069.44,596138,5634099,43,10,240,4,8,65,6,3300,0.05,0.05,119.1,-7.8,1.5,-70.76,61.86853885
1 - open,106.24,Site3_3,595774.83,5633884.13,595738,5633882,49,17,240,3,8,65,6,3300,0.03,0.03,86.9,-52.6,1.5,-86.76,36.89154104
1 - open,110.99,Site5_1,596165.56,5633716.67,596166,5633664,49,30,0,7,8,65,6,3300,0.14,0.14,0,-28.3,1.5,-85.36,52.67183783
19 - high_buildings,120.1,Site3_2,595774.83,5633884.13,595773,5633758,49,30,120,5,8,65,6,3300,0.07,0.07,0.9,-18.6,1.5,-87.53,126.1432749
11 - open_in_urban,103.57,Site6_1,595864.14,5633631.83,595912,5633671,43,14,0,9,8,65,6,3300,0.23,0.23,230.9,-11.4,1.5,-78.1,61.84552126
1 - open,112.33,Site6_3,595864.14,5633631.83,595755,5633651,43,20,240,4,8,65,6,3300,0.05,0.05,99.9,-9.5,1.5,-78.78,110.8107779
12 - parks_in_urban,116.47,Site5_3,596165.56,5633716.67,596110,5633574,47,13,240,8,8,65,6,3300,0.18,0.18,21.4,2.8,1.5,-85.18,153.1066377
11 - open_in_urban,119.47,Site6_1,595864.14,5633631.83,595937,5633672,43,14,0,9,8,65,6,3300,0.23,0.23,241.3,-8.5,1.5,-90.83,83.1998107
11 - open_in_urban,113.22,Site8_2,595922.19,5634056.05,596074,5633913,49,21,120,1,8,65,6,3300,0,0,313.3,-7.5,1.5,-78.69,208.5894978
7 - dense_urban,101.33,Site4_1,596192.35,5634069.44,596130,5634116,41,18,0,2,8,65,6,3300,0.01,0.01,127.2,4,1.5,-67.13,77.81616863
15 - dense_residential,100.13,Site7_1,596216.91,5633488.93,596230,5633526,44,15,0,6,8,65,6,3300,0.1,0.1,199.4,5.1,1.5,-66.99,39.31326748
9 - commercial_industrial,90.23,Site8_1,595922.19,5634056.05,595929,5634117,46,22,0,2,8,65,6,3300,0.01,0.01,186.5,-20.9,1.5,-64.13,61.32926381
7 - dense_urban,125.22,Site2_1,595886.47,5634321.74,595881,5634399,43,14,0,4,8,65,6,3300,0.05,0.05,176.3,-12.1,1.5,-92.96,77.45339566
7 - dense_urban,113.58,Site4_3,596192.35,5634069.44,596139,5634003,43,10,240,4,8,65,6,3300,0.05,0.05,38.8,11,1.5,-82.5,85.20854476
7 - dense_urban,67.92,Site1_1,595522.53,5634212.34,595536,5634237,47,20,0,2,8,65,6,3300,0.01,0.01,207.5,-14.9,1.5,-34.79,28.09904803
1 - open,108.43,Site1_1,595522.53,5634212.34,595708,5634276,47,20,0,2,8,65,6,3300,0.01,0.01,250.9,-3.1,1.5,-73.98,196.0910924
11 - open_in_urban,104.55,Site4_3,596192.35,5634069.44,596179,5634032,43,10,240,4,8,65,6,3300,0.05,0.05,19.4,-12.2,1.5,-71.59,39.74891319
11 - open_in_urban,117.14,Site2_3,595886.47,5634321.74,595702,5634148,44,20,240,5,8,65,6,3300,0.07,0.07,46.6,-8.4,1.5,-82.32,253.4063308
19 - high_buildings,113.68,Site8_1,595922.19,5634056.05,596042,5634137,46,22,0,2,8,65,6,3300,0.01,0.01,236,0.6,1.5,-78.74,144.5937018
7 - dense_urban,107.93,Site4_3,596192.35,5634069.44,596142,5633965,43,10,240,4,8,65,6,3300,0.05,0.05,25.7,6.7,1.5,-76.15,115.9432452
19 - high_buildings,114.15,Site3_3,595774.83,5633884.13,595739,5633853,49,17,240,3,8,65,6,3300,0.03,0.03,49.3,-11.3,1.5,-80.63,47.46436347
9 - commercial_industrial,122.54,Site1_1,595522.53,5634212.34,595479,5634362,47,20,0,2,8,65,6,3300,0.01,0.01,163.7,1.3,1.5,-88.35,155.8620432
7 - dense_urban,118.71,Site2_1,595886.47,5634321.74,595839,5634406,43,14,0,4,8,65,6,3300,0.05,0.05,150.8,-9.1,1.5,-85.06,96.71167716
7 - dense_urban,91.76,Site6_2,595864.14,5633631.83,595879,5633613,48,18,120,2,8,65,6,3300,0.01,0.01,321.7,12.8,1.5,-58.63,23.98725703
19 - high_buildings,97.84,Site2_3,595886.47,5634321.74,595786,5634297,44,20,240,5,8,65,6,3300,0.07,0.07,76,-3.1,1.5,-63.37,103.4711965
11 - open_in_urban,111.88,Site8_2,595922.19,5634056.05,596080,5633889,49,21,120,1,8,65,6,3300,0,0,316.6,-6.8,1.5,-77.11,229.8036088
1 - open,130.22,Site5_3,596165.56,5633716.67,596019,5633670,47,13,240,8,8,65,6,3300,0.18,0.18,72.3,3.5,1.5,-96.23,153.8113211
7 - dense_urban,115.17,Site1_2,595522.53,5634212.34,595616,5634214,43,15,146,3,8,65,6,3300,0.03,0.03,268.8,-1.5,1.5,-80.26,93.4847394
7 - dense_urban,122.3,Site5_3,596165.56,5633716.67,596017,5633672,47,13,240,8,8,65,6,3300,0.18,0.18,73.2,3.5,1.5,-88.24,155.1305337
19 - high_buildings,125.95,Site5_1,596165.56,5633716.67,596137,5633821,49,30,0,7,8,65,6,3300,0.14,0.14,164.4,-0.3,1.5,-91.62,108.1684913
12 - parks_in_urban,101.17,Site4_3,596192.35,5634069.44,596155,5634019,43,10,240,4,8,65,6,3300,0.05,0.05,36.5,-1.4,1.5,-66.47,62.76317471
22 - grass,105.29,Site6_2,595864.14,5633631.83,595898,5633605,48,18,120,2,8,65,6,3300,0.01,0.01,308.5,-20.8,1.5,-76.28,43.20125577
1 - open,122.87,Site6_3,595864.14,5633631.83,595764,5633560,43,20,240,4,8,65,6,3300,0.05,0.05,54.2,-8.5,1.5,-89.43,123.2378534
1 - open,117.82,Site8_3,595922.19,5634056.05,595837,5633830,43,16,240,0,8,65,6,3300,0,0,20.6,-5.3,1.5,-84.09,241.5697386
11 - open_in_urban,121,Site6_3,595864.14,5633631.83,595708,5633641,43,20,240,4,8,65,6,3300,0.05,0.05,93.3,-6.8,1.5,-87.82,156.4090423
7 - dense_urban,124.35,Site1_2,595522.53,5634212.34,595614,5634224,43,15,146,3,8,65,6,3300,0.03,0.03,262.5,5.9,1.5,-90.88,92.21017569
11 - open_in_urban,108,Site7_3,596216.91,5633488.93,596180,5633428,47,23,240,3,8,65,6,3300,0.03,0.03,31.2,-16.8,1.5,-77.21,71.23772175
15 - dense_residential,111.75,Site3_3,595774.83,5633884.13,595726,5633889,49,17,240,3,8,65,6,3300,0.03,0.03,95.8,-39.4,1.5,-84.01,49.07225081
19 - high_buildings,101.64,Site3_2,595774.83,5633884.13,595822,5633876,49,30,120,5,8,65,6,3300,0.07,0.07,279.7,-34.3,1.5,-75.62,47.86549697
1 - open,106.4,Site8_1,595922.19,5634056.05,595919,5634147,46,22,0,2,8,65,6,3300,0.01,0.01,178.1,-17.4,1.5,-77.88,91.00592618
6 - urban,118.71,Site1_3,595522.53,5634212.34,595459,5634126,48,13,240,1,8,65,6,3300,0,0,36.7,-3.5,1.5,-83.94,107.1944798
1 - open,116.75,Site1_2,595522.53,5634212.34,595579,5634233,43,15,146,3,8,65,6,3300,0.03,0.03,249.4,-14.5,1.5,-84.7,60.1306619
19 - high_buildings,109.88,Site6_3,595864.14,5633631.83,595779,5633626,43,20,240,4,8,65,6,3300,0.05,0.05,86,9,1.5,-77.99,85.33937251
7 - dense_urban,103.43,Site6_3,595864.14,5633631.83,595861,5633564,43,20,240,4,8,65,6,3300,0.05,0.05,2.5,1.3,1.5,-68.64,67.90263986
1 - open,120.72,Site2_2,595886.47,5634321.74,596053,5634216,43,18,120,2,8,65,6,3300,0.01,0.01,302.4,-10.2,1.5,-88.86,197.2642606
19 - high_buildings,111.74,Site6_1,595864.14,5633631.83,595876,5633728,43,14,0,9,8,65,6,3300,0.23,0.23,187.1,11.4,1.5,-82.34,96.89854746
1 - open,112.42,Site2_3,595886.47,5634321.74,595778,5634106,44,20,240,5,8,65,6,3300,0.07,0.07,26.6,-8.8,1.5,-79.07,241.4735772
19 - high_buildings,109.06,Site6_1,595864.14,5633631.83,595873,5633734,43,14,0,9,8,65,6,3300,0.23,0.23,185,13.5,1.5,-82.1,102.5534422
7 - dense_urban,119.01,Site7_3,596216.91,5633488.93,596174,5633363,47,23,240,3,8,65,6,3300,0.03,0.03,18.8,-1.1,1.5,-84.66,133.0399677
1 - open,117.1,Site3_2,595774.83,5633884.13,595826,5633908,49,30,120,5,8,65,6,3300,0.07,0.07,244.8,-46.1,1.5,-88.27,56.46366796
11 - open_in_urban,117.79,Site1_1,595522.53,5634212.34,595635,5634350,47,20,0,2,8,65,6,3300,0.01,0.01,219.1,-6.6,1.5,-83.73,177.7632597
11 - open_in_urban,108.66,Site8_3,595922.19,5634056.05,595842,5634111,43,16,240,0,8,65,6,3300,0,0,124.5,-13,1.5,-76.73,97.21079467
9 - commercial_industrial,123.62,Site1_1,595522.53,5634212.34,595497,5634379,47,20,0,2,8,65,6,3300,0.01,0.01,171.2,1.2,1.5,-90.06,168.6040821
9 - commercial_industrial,105.25,Site2_2,595886.47,5634321.74,595926,5634259,43,18,120,2,8,65,6,3300,0.01,0.01,327.6,-21.6,1.5,-80.32,74.15476047
19 - high_buildings,134.87,Site6_3,595864.14,5633631.83,595792,5633674,43,20,240,4,8,65,6,3300,0.05,0.05,120.3,9.2,1.5,-101.97,83.56128589
11 - open_in_urban,116.02,Site6_3,595864.14,5633631.83,595759,5633644,43,20,240,4,8,65,6,3300,0.05,0.05,96.5,-9.9,1.5,-83.06,105.8419978
7 - dense_urban,120.46,Site5_1,596165.56,5633716.67,596174,5633651,49,30,0,7,8,65,6,3300,0.14,0.14,353.1,-10.6,1.5,-92.71,66.21013895
7 - dense_urban,93.83,Site4_1,596192.35,5634069.44,596193,5634094,41,18,0,2,8,65,6,3300,0.01,0.01,182.3,10.2,1.5,-64.46,24.56859988
7 - dense_urban,107.1,Site1_3,595522.53,5634212.34,595408,5634101,48,13,240,1,8,65,6,3300,0,0,46,2.3,1.5,-73.03,159.7301365
1 - open,119.8,Site6_3,595864.14,5633631.83,595753,5633569,43,20,240,4,8,65,6,3300,0.05,0.05,60.4,-8.2,1.5,-87.92,127.6703117
19 - high_buildings,103.57,Site6_1,595864.14,5633631.83,595870,5633726,43,14,0,9,8,65,6,3300,0.23,0.23,183.7,11.7,1.5,-75.23,94.35215154
11 - open_in_urban,114.67,Site8_2,595922.19,5634056.05,596141,5633844,49,21,120,1,8,65,6,3300,0,0,314.1,-5.2,1.5,-79.85,304.7015238
19 - high_buildings,123.21,Site5_3,596165.56,5633716.67,596063,5633693,47,13,240,8,8,65,6,3300,0.18,0.18,76.9,8.3,1.5,-90.48,105.2559856
19 - high_buildings,103.22,Site3_1,595774.83,5633884.13,595786,5633924,45,15,0,2,8,65,6,3300,0.01,0.01,195.4,-18,1.5,-70.59,41.40514219
19 - high_buildings,95.9,Site5_1,596165.56,5633716.67,596137,5633762,49,30,0,7,8,65,6,3300,0.14,0.14,147.2,-1.6,1.5,-62.77,53.57688401
1 - open,117.08,Site7_1,596216.91,5633488.93,596165,5633637,44,15,0,6,8,65,6,3300,0.1,0.1,160.6,-4.9,1.5,-82.1,156.9056181
1 - open,106.19,Site2_1,595886.47,5634321.74,595832,5634394,43,14,0,4,8,65,6,3300,0.05,0.05,143.1,-19.3,1.5,-77.25,90.49026743
7 - dense_urban,108.26,Site1_1,595522.53,5634212.34,595631,5634301,47,20,0,2,8,65,6,3300,0.01,0.01,230.5,-3.5,1.5,-73.36,140.0940274
19 - high_buildings,106.23,Site6_1,595864.14,5633631.83,595901,5633695,43,14,0,9,8,65,6,3300,0.23,0.23,210.4,11.2,1.5,-76.39,73.13759977
19 - high_buildings,113.95,Site3_3,595774.83,5633884.13,595717,5633905,49,17,240,3,8,65,6,3300,0.03,0.03,109.9,-14.1,1.5,-81.42,61.4806132
11 - open_in_urban,127.14,Site1_3,595522.53,5634212.34,595429,5634086,48,13,240,1,8,65,6,3300,0,0,36.7,-4.9,1.5,-92.34,157.1930549
19 - high_buildings,108.9,Site5_1,596165.56,5633716.67,596198,5633744,49,30,0,7,8,65,6,3300,0.14,0.14,229.8,-2.1,1.5,-74.04,42.41795021
19 - high_buildings,115.47,Site6_1,595864.14,5633631.83,595853,5633668,43,14,0,9,8,65,6,3300,0.23,0.23,163,27.4,1.5,-86.13,37.8466445
1 - open,111.23,Site2_2,595886.47,5634321.74,596008,5634188,43,18,120,2,8,65,6,3300,0.01,0.01,317.7,-11.1,1.5,-77.53,180.7095141
19 - high_buildings,105.55,Site3_1,595774.83,5633884.13,595780,5633921,45,15,0,2,8,65,6,3300,0.01,0.01,187.7,-12.8,1.5,-72.08,37.23071044
1 - open,103.17,Site5_3,596165.56,5633716.67,596165,5633689,47,13,240,8,8,65,6,3300,0.18,0.18,2,-22.3,1.5,-79.91,27.67566621
11 - open_in_urban,119.83,Site4_1,596192.35,5634069.44,596243,5634278,41,18,0,2,8,65,6,3300,0.01,0.01,193.7,-4.4,1.5,-84.97,214.6222172
7 - dense_urban,115.93,Site2_1,595886.47,5634321.74,595853,5634440,43,14,0,4,8,65,6,3300,0.05,0.05,164.4,-3.5,1.5,-80.98,122.9051199
19 - high_buildings,110.03,Site5_2,596165.56,5633716.67,596152,5633625,49,28,120,8,8,65,6,3300,0.18,0.18,8.7,0.3,1.5,-76.24,92.66748351
